,player.id_in_group,player.wtp_voting_cost,player.is_large_team,player.is_large_team_pq,player.is_winner,player.is_winner_pq,player.voting_cost,player.vote,player.temp_payoff,group.small_team_vote_count,group.large_team_vote_count,group.small_team_win,group.small_team_vote_count_pq,group.large_team_vote_count_pq,group.small_team_win_pq,group.total_vote_count_pq,player.Q2_vote,player.Q2_vote_pq,player.Q2_no_vote,player.Q2_no_vote_pq,player.Q2_willingness_to_pay,player.Q3_vote,player.Q3_vote_pq,player.Q3_no_vote,player.Q3_no_vote_pq,player.Q3_willingness_to_pay,player.Q4_vote,player.Q4_vote_pq,player.Q4_no_vote,player.Q4_no_vote_pq,player.Q4_willingness_to_pay,player.Q5_vote,player.Q5_vote_pq,player.Q5_no_vote,player.Q5_no_vote_pq,player.Q5_willingness_to_pay,player.Q6_vote,player.Q6_vote_pq,player.Q6_no_vote,player.Q6_no_vote_pq,player.Q6_willingness_to_pay,treatment,round_num,session,sb_condition,bb_pq
29,1,0,0,0,0,1,11,0,50,0,1,0,0,1,1,1,30,0,10,0,0,25,0,10,0,0,80,100,60,100,0,30,100,10,100,0,0,0,0,0,0,1,30,0826_a_treatment,ss,
30,2,45,0,1,0,0,1,1,-1,2,3,0,3,2,1,5,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,1,0826_a_treatment,sb,
31,2,45,1,1,1,0,14,1,36,0,3,0,0,3,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,2,0826_a_treatment,bb,same
32,2,45,0,0,1,1,35,1,65,3,1,1,3,1,1,4,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,3,0826_a_treatment,ss,
33,2,44,1,1,1,0,12,1,38,0,3,0,2,1,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,4,0826_a_treatment,bb,different
34,2,1,0,1,1,0,32,0,50,2,1,1,1,2,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,5,0826_a_treatment,sb,
35,2,2,1,0,1,1,67,0,100,0,2,0,2,0,1,2,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,6,0826_a_treatment,bs,
36,2,1,1,0,0,1,21,0,50,2,1,1,0,3,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,7,0826_a_treatment,bs,
37,2,0,0,1,1,0,47,0,50,2,2,1,1,3,1,4,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,8,0826_a_treatment,sb,
38,2,10,0,1,0,0,93,0,0,3,5,0,4,4,1,8,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,9,0826_a_treatment,sb,
39,2,0,0,0,0,1,32,0,50,1,4,0,1,4,1,5,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,10,0826_a_treatment,ss,
40,2,4,0,1,1,0,20,0,50,1,1,1,1,1,1,2,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,11,0826_a_treatment,sb,
41,2,0,1,0,1,1,69,0,100,0,1,0,1,0,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,12,0826_a_treatment,bs,
42,2,75,1,1,1,0,54,1,-4,0,1,0,0,1,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,13,0826_a_treatment,bb,same
43,2,0,1,1,1,0,22,0,50,0,3,0,0,3,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,14,0826_a_treatment,bb,same
44,2,1,0,1,1,0,43,0,50,2,0,1,0,2,1,2,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,15,0826_a_treatment,sb,
45,2,20,1,1,1,0,6,1,44,0,3,0,0,3,1,3,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,16,0826_a_treatment,bb,same
46,2,0,0,1,0,0,11,0,0,1,1,0,1,1,1,2,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,17,0826_a_treatment,sb,
47,2,0,1,1,1,0,32,0,50,0,0,0,0,0,1,0,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,18,0826_a_treatment,bb,same
48,2,9,1,0,1,1,48,0,100,1,3,0,3,1,1,4,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,19,0826_a_treatment,bs,
49,2,49,1,0,1,1,15,1,85,0,1,0,1,0,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,20,0826_a_treatment,bs,
50,2,20,1,1,0,0,42,0,0,1,1,1,1,1,1,2,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,21,0826_a_treatment,bb,same
51,2,0,0,0,1,1,5,0,100,1,0,1,1,0,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,22,0826_a_treatment,ss,
52,2,0,0,0,0,1,87,0,50,1,4,0,1,4,1,5,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,23,0826_a_treatment,ss,
53,2,0,1,0,1,1,66,0,100,0,1,0,1,0,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,24,0826_a_treatment,bs,
54,2,0,0,0,0,1,82,0,50,0,1,0,0,1,1,1,50,30,50,10,1,70,30,50,10,1,70,50,30,70,30,70,70,70,70,3,50,30,70,20,20,1,25,0826_a_treatment,ss,
